data_size,model_size,train_loss,eval_loss,compute
435072,4,0.017078623,0.049247821,6961152
447872,4,0.007648172,0.032410071,7165952
460672,4,0.011146877,0.033276772,7370752
473472,4,0.010689845,0.040187529,7575552
486272,4,0.005211438,0.030756623,7780352
499072,4,0.017765036,0.029507017,7985152
511872,4,0.025423747,0.030094128,8189952
524672,4,0.005823278,0.02475309,8394752
537472,4,0.020425132,0.027352887,8599552
550272,4,0.002239903,0.038736444,8804352
563072,4,0.00158679,0.030447643,9009152
575872,4,0.015551609,0.030371531,9213952
588672,4,0.000219264,0.0315162,9418752
601472,4,0.001509942,0.033573439,9623552
614272,4,0.004198442,0.033286312,9828352
627072,4,0.00030911,0.031716593,10033152
639872,4,0.000702655,0.036214208,10237952
652672,4,0.000480171,0.036730808,10442752
665472,4,0.031476948,0.037446228,10647552
678272,4,0.00847854,0.050380354,10852352
691072,4,0.000544336,0.031847549,11057152
703872,4,0.000459212,0.031541069,11261952
716672,4,0.022347417,0.034281264,11466752
729472,4,0.00187706,0.030431697,11671552
742272,4,0.054112136,0.031009638,11876352
755072,4,0.000839127,0.030463919,12081152
767872,4,0.038975317,0.032008894,12285952
780672,4,0.003822977,0.041663636,12490752
793472,4,0.000276199,0.036981836,12695552
806272,4,0.000497619,0.034814813,12900352
819072,4,0.001127005,0.029624961,13105152
831872,4,0.024276851,0.035078947,13309952
844672,4,0.032823138,0.033361527,13514752
857472,4,0.01942089,0.04250217,13719552
