,step,model_size,train_loss,eval_loss,compute,eval_min,train_min,params
284,831872,1.414213562,0.034916926,0.047991408,212959231.88763502,0.044030193,0.002290561,2.0
285,844672,1.414213562,0.042080723,0.055664779,216236031.88590607,0.044030193,0.002290561,2.0
286,857472,1.414213562,0.035041168,0.047756395,219512831.88417712,0.044030193,0.002290561,2.0
287,870272,1.414213562,0.0090579,0.050337403,222789631.88244817,0.044030193,0.002290561,2.0
288,883072,1.414213562,0.018565392,0.052863317,226066431.8807192,0.044030193,0.002290561,2.0
289,895872,1.414213562,0.023354191,0.056088296,229343231.87899023,0.044030193,0.002290561,2.0
290,908672,1.414213562,0.039932128,0.049907331,232620031.87726128,0.044030193,0.002290561,2.0
291,921472,1.414213562,0.00749294,0.049443858,235896831.87553233,0.044030193,0.002290561,2.0
292,934272,1.414213562,0.006531252,0.050064046,239173631.87380338,0.044030193,0.002290561,2.0
293,947072,1.414213562,0.038318973,0.045899508,242450431.87207443,0.044030193,0.002290561,2.0
294,959872,1.414213562,0.009453126,0.049830056,245727231.87034544,0.044030193,0.002290561,2.0
295,972672,1.414213562,0.017238539,0.042384723,249004031.8686165,0.042384723,0.002290561,2.0
296,985472,1.414213562,0.044272076,0.043991594,252280831.86688754,0.042384723,0.002290561,2.0
297,998272,1.414213562,0.003480015,0.058811059,255557631.8651586,0.042384723,0.002290561,2.0
298,1011072,1.414213562,0.027380366,0.046341151,258834431.86342964,0.042384723,0.002290561,2.0
299,1023872,1.414213562,0.074511364,0.047420829,262111231.86170065,0.042384723,0.002290561,2.0
300,1036672,1.414213562,0.072653554,0.048661932,265388031.8599717,0.042384723,0.002290561,2.0
301,1049472,1.414213562,0.027250092,0.050297393,268664831.85824275,0.042384723,0.002290561,2.0
302,1062272,1.414213562,0.020547573,0.043057542,271941631.8565138,0.042384723,0.002290561,2.0
303,1075072,1.414213562,0.060736094,0.049044826,275218431.85478485,0.042384723,0.002290561,2.0
304,1087872,1.414213562,0.041855898,0.048184083,278495231.8530559,0.042384723,0.002290561,2.0
305,1100672,1.414213562,0.003289078,0.054907227,281772031.85132694,0.042384723,0.002290561,2.0
306,1113472,1.414213562,0.015001685,0.056983968,285048831.849598,0.042384723,0.002290561,2.0
307,1126272,1.414213562,0.002222287,0.05021532,288325631.847869,0.042384723,0.002222287,2.0
308,1139072,1.414213562,0.050406311,0.053110613,291602431.84614,0.042384723,0.002222287,2.0
309,1151872,1.414213562,0.003173112,0.046673569,294879231.8444111,0.042384723,0.002222287,2.0
